# Nyra comparison — runtime + memory benchmark
# Generated: 2026-07-01T14:14:09Z
# Runs per command: 5 (warmup 1 discarded); micro=9 concurrency=11
# Time: median wall clock in milliseconds (lower is better)
# Nyra parity: Zero/Explicit measured interleaved per suite (same OS/thermal window)
# Parity summary excludes startup-dominated suites (hello, arithmetic) — see HTML report
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude (single-file suites), prelude (multi-file/struct_sum), -march=native
# Isolation: Nyra variants per suite (interleaved pairs); other langs isolated (BENCH_LANG_COOLDOWN=2s)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code. Zero/Explicit pairs are measured interleaved per suite
(median wall time) so OS startup noise does not skew the comparison.

The hot-path parity table (HTML) excludes hello/arithmetic where process spawn
dominates and LLVM output is identical — see full matrix for all suites.

| Suite        | Language               | Time (ms) | Memory     |
   Benchmark                      Zero Types         Explicit Types   Δ time
   --------------------------------------------------------------------------
   loop                        1,413.60 ms          1,412.82 ms    -0.1%
   fib                         1,412.34 ms          1,412.88 ms       0%
   nested                         52.20 ms             52.03 ms    -0.3%
   struct                          2.96 ms              2.86 ms    -3.1%
   dungeon                         2.82 ms              2.89 ms    +2.5%
   cpu_bound                     808.65 ms            808.79 ms       0%
   mix                         1,832.04 ms          1,832.45 ms       0%
   loop_nofold                 1,412.20 ms          1,412.30 ms       0%
   comptime_table                  3.64 ms              3.62 ms    -0.5%
   memory_alloc_struct             12.54 ms             12.36 ms    -1.4%
   memory_free_struct             11.39 ms             11.00 ms    -3.5%
   memory_arena                    6.92 ms              6.42 ms    -7.2%
   memory_ownership                7.29 ms              6.84 ms    -6.1%
   strings_concat                271.50 ms            271.30 ms    -0.1%
   strings_substring               6.49 ms              6.06 ms    -6.6%
   strings_replace                 8.97 ms              8.15 ms    -9.1%
   strings_split                   6.97 ms              5.76 ms   -17.3%
   strings_utf8                    9.47 ms              8.89 ms    -6.2%
   collections_hashmap             35.18 ms             35.09 ms    -0.2%
   collections_hashset             34.95 ms             35.07 ms    +0.3%
   collections_vec_push              6.27 ms              5.88 ms    -6.2%
   collections_vec_pop              7.39 ms              6.75 ms    -8.6%
   collections_sort                4.48 ms              4.22 ms    -5.8%
   algorithms_qsort                4.23 ms              3.73 ms   -11.8%
   algorithms_mergesort              4.22 ms              3.88 ms    -8.1%
   algorithms_binary_search              3.55 ms              3.63 ms    +2.2%
   algorithms_json_parse             15.80 ms             15.74 ms    -0.4%
   algorithms_regex               18.47 ms             18.43 ms    -0.2%
   concurrency_spawn_tasks             33.98 ms             33.86 ms    -0.3%
   concurrency_channel_pingpong            132.72 ms            139.46 ms    +5.1%
   concurrency_worker_pool         10,746.22 ms         10,840.97 ms    +0.9%
   concurrency_parallel_map              3.97 ms              3.99 ms    +0.5%
   cpu_bound_pgo                 808.41 ms            808.15 ms       0%

   Same source algorithm in every row — only type annotations differ.
   Median |Δ| across 33 hot-path benchmarks: 1.43% time.
   Interleaved paired runs + median wall time (see report header).

   Startup / I/O micro-benchmarks (informational — not used for parity median):

   Benchmark                      Zero Types         Explicit Types   Δ time
   --------------------------------------------------------------------------
   hello                           1.82 ms              1.80 ms    -1.1%  ‡
   arithmetic                      1.70 ms              1.76 ms    +3.3%  ‡
   ‡ LLVM output identical; delta is process-spawn / OS noise, not type overhead.

   Benchmark                      Zero Types         Explicit Types   Δ memory
   ----------------------------------------------------------------------------
   hello                             1.06 MB                1.06 MB         0% ‡
   arithmetic                        1.03 MB                1.03 MB         0% ‡
   loop                              1.03 MB                1.03 MB         0%
   fib                               1.03 MB                1.03 MB         0%
   nested                            1.03 MB                1.03 MB         0%
   struct                            1.38 MB                1.38 MB         0%
   dungeon                           1.38 MB                1.38 MB         0%
   cpu_bound                         1.03 MB                1.03 MB         0%
   mix                               1.03 MB                1.03 MB         0%
   loop_nofold                       1.03 MB                1.03 MB         0%
   comptime_table                    1.03 MB                1.03 MB         0%
   memory_alloc_struct                1.44 MB                1.44 MB         0%
   memory_free_struct                1.06 MB                1.06 MB         0%
   memory_arena                      1.03 MB                1.03 MB         0%
   memory_ownership                  1.38 MB                1.38 MB         0%
   strings_concat                    2.83 MB                2.83 MB         0%
   strings_substring                 2.61 MB                2.61 MB         0%
   strings_replace                   1.08 MB                1.08 MB         0%
   strings_split                     2.66 MB                2.66 MB         0%
   strings_utf8                      1.05 MB                1.05 MB         0%
   collections_hashmap                8.50 MB                8.50 MB         0%
   collections_hashset                8.52 MB                8.52 MB         0%
   collections_vec_push                3.03 MB                3.03 MB         0%
   collections_vec_pop                3.03 MB                3.03 MB         0%
   collections_sort                  1.28 MB                1.28 MB         0%
   algorithms_qsort                  1.03 MB                1.03 MB         0%
   algorithms_mergesort                1.03 MB                1.03 MB         0%
   algorithms_binary_search                1.03 MB                1.03 MB         0%
   algorithms_json_parse                1.05 MB                1.05 MB         0%
   algorithms_regex                  1.11 MB                1.11 MB         0%
   concurrency_spawn_tasks                1.45 MB                1.45 MB         0%
   concurrency_channel_pingpong                1.36 MB                1.36 MB         0%
   concurrency_worker_pool                3.17 MB                3.17 MB         0%
   concurrency_parallel_map                1.12 MB                1.12 MB         0%
